TEAMFGM,TEAMFGA,TEAMFG%,TEAM3PM,TEAM3PA,TEAM3P%,TEAMFTM,TEAMFTA,TEAMFT%,TEAMAST,TEAMSTL,TEAMBLK,TEAMPF,OPPTFGM,OPPTFGA,OPPTFG%,OPPT3PM,OPPT3PA,OPPT3P%,OPPTFTM,OPPTFTA,OPPTFT%,OPPTAST,OPPTSTL,OPPTBLK,OPPTPF
32.0,90.0,0.3556,8.0,32.0,0.25,12.0,20.0,0.6,26.0,11.0,10.0,19.0,36.0,74.5,0.48295,5.5,13.5,0.4093,20.0,24.5,0.81545,23.0,6.5,3.0,20.5
35.0,80.5,0.436,6.0,18.5,0.36185,13.5,21.5,0.64005,20.5,4.0,7.5,16.0,33.0,86.5,0.3822,4.5,16.5,0.2702,13.0,16.0,0.8125,15.5,8.5,4.5,31.5
38.0,75.0,0.50455,7.5,18.0,0.425,18.5,22.5,0.82935,21.5,6.0,5.0,19.0,32.5,86.0,0.378,5.5,22.0,0.2457,11.5,19.0,0.5606,20.5,7.0,5.0,19.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,91.0,0.3626,6.0,17.0,0.3529,16.0,19.0,0.8421,18.0,12.0,8.0,18.0
38.5,74.0,0.5277,3.0,9.5,0.3111,24.0,31.5,0.76215,27.5,7.5,7.0,20.0,36.0,80.5,0.44715,4.5,15.5,0.2962,15.0,18.5,0.77795,24.5,7.0,5.0,18.0
38.5,84.5,0.45795,9.0,28.5,0.31855,21.0,26.0,0.8006,25.0,10.0,2.5,21.0,37.0,86.0,0.4328,9.0,23.0,0.3981,21.0,26.0,0.80655,18.0,7.0,2.5,22.5
36.0,85.0,0.42355,8.0,18.5,0.41665,16.5,22.0,0.7543,21.0,8.5,5.0,28.5,31.0,85.0,0.3647,7.0,19.0,0.3684,21.0,24.0,0.875,18.0,10.0,9.0,23.0
40.0,86.0,0.4651,8.0,18.0,0.4444,11.0,12.0,0.9167,26.0,12.0,5.0,17.0,34.0,79.0,0.4304,7.5,20.0,0.375,14.5,24.5,0.60015,22.5,7.0,3.0,23.0
36.5,79.5,0.459,5.5,19.5,0.2816,14.0,21.0,0.67065,24.5,9.0,6.0,21.0,36.5,87.0,0.4194,8.0,21.0,0.39285,18.5,27.0,0.61905,21.5,8.5,7.0,23.0
38.0,79.0,0.48295,6.5,18.5,0.34845,20.5,28.0,0.73375,24.5,12.0,6.5,26.5,34.5,83.0,0.41685,7.5,18.5,0.39705,14.0,20.0,0.7008,20.0,7.0,4.0,22.0
